City,Temperature (°C),Condition,URL
Bratislava,7.8,Light rain. Clear.,https://www.timeanddate.com/weather/slovakia/bratislava
Kosice,5.0,Passing clouds.,https://www.timeanddate.com/weather/slovakia/kosice
Presov,5.0,Passing clouds.,https://www.timeanddate.com/weather/slovakia/presov
Nitra,5.0,Overcast.,https://www.timeanddate.com/weather/slovakia/nitra
Zilina,3.9,Light rain. Mostly cloudy.,https://www.timeanddate.com/weather/slovakia/zilina
Poprad,2.8,Passing clouds.,https://www.timeanddate.com/weather/slovakia/poprad
Piestany,7.2,Sunny.,https://www.timeanddate.com/weather/slovakia/piestany
Prievidza,4.4,Partly sunny.,https://www.timeanddate.com/weather/slovakia/prievidza
